/wiki/1st_Regiment_of_Foot,1633–2006,  Kingdom of Scotland (1633–1678)   Kingdom of England (1678–1707)   Kingdom of Great Britain (c.1707–c.1800)   Kingdom of Ireland (c. 1775) [1]   United Kingdom (1801–2006),  British Army,Infantry,Line infantry,Scottish Division,Glencorse Barracks,Pontius Pilate's Bodyguard,"Nemo me impune lacessit Latin: ""Nobody harms me with impunity""",Quick March : Dumbarton's Drums Slow March : Garb of Old Gaul,See Battle honours list,,,,,,
/wiki/2nd_Regiment_of_Foot,1661–1959,  Kingdom of England (1661–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1959),British Army,Line infantry,Infantry,Home Counties Brigade,"Stoughton Barracks , Guildford","Kirke's Lambs , The Mutton Lancers",Pristinae Virtutis Memor (Mindful of Former Valour) Vel Exuviae Triumphans (Even in Defeat Triumphant),Quick: The Braganza Slow: Scipio,,,1–2 Regular battalions 1 Militia battalion (2nd Royal Surrey Regiment of Militia) 4 Volunteer and Territorial battalions,Glorious First of June (1 June) Salerno (9 September),,,
/wiki/3rd_Regiment_of_Foot,1572-1961,  Kingdom of England (1572–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1961),  British Army,Infantry,Line infantry,,"Howe Barracks , Canterbury",Howard's Buffs The Old Buffs .,"Veteri Frondescit Honore Latin : ""Its Ancient Honour Flourishes""; ""Its Ancient Honour is Ever-Green""",Quick: The Buffs Slow: The Men of Kent,Corunna (17 January 1809) Albuhera (16 May 1811),,,Albuhera Day (16 May).,"Colonel Charles Churchill (1689–1707) John Campbell, 2nd Duke of Argyll (1707–1713) Archibald Douglas, 2nd Earl of Forfar (1713–1715) Lieutenant-General Thomas Howard (1737–1749) Colonel Sir George Howard (1749–1763).",,
/wiki/4th_Regiment_of_Foot,1680–1959,  Kingdom of England (1680–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1959),  British Army,Infantry,Line infantry,,"Bowerham Barracks , Lancaster","Barrell's Blues , The Lions",,Quick: Corn Riggs are Bonnie Slow: And Shall Trelawny Die?,Nine Years' War War of the Spanish Succession Jacobite rising of 1745 Seven Years' War French Revolutionary Wars Peninsular War War of 1812 Napoleonic Wars Crimean War Indian Rebellion of 1857 British Expedition to Abyssinia Anglo-Zulu War Second Boer War World War I World War II,,,,,,
/wiki/5th_Regiment_of_Foot,1674–1968,  Kingdom of England (1674–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1968),  British Army,Line infantry,Fusiliers,,"Fenham Barracks , Newcastle upon Tyne","The Fighting 5th , 5th of Foot",Quo Fata Vocant (Whither the Fates call),,,,First World War : 52 battalions Second World War : 10 battalions,St Georges Day 23 April,"Robert Leith-Macgregor (1st Battalion, 1960–62)",,
/wiki/6th_Regiment_of_Foot,1685–1968,  Kingdom of England (1685–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1968),British Army,Infantry,Line infantry,,"Budbrooke Barracks , Warwickshire",,,"Quick: The British Grenadiers , Warwickshire Lads Slow: MacBean's Slow March",,,1-4 Regular battalions Up to 2 Militia battalions Up to 4 Territorial and Volunteer battalions Up to 22 Hostilities-only battalions,,,,
/wiki/7th_Regiment_of_Foot,1685–1968,  Kingdom of England (1685–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1968),  British Army,Infantry,Line infantry,,Tower of London,The Elegant Extracts,Honi soit qui mal y pense,The Seventh Royal Fusiliers,,,1–4 Regular battalions Up to 3 Militia and Special Reserve battalions Up to 4 Territorial and Volunteer battalions Up to 36 Hostilities-only battalions,,,,
/wiki/8th_Regiment_of_Foot,19 June 1685 – 1 July 1881,  Kingdom of England (to 1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1881),Army,Line Infantry,,,,"The Leather Hats, The King's Hanoverian White Horse",Nec Aspera Terrent (Difficulties be Damned),Here's to the Girl,,,Two battalions,Blenheim (13 August) Delhi (14 September),,"Blenheim , Ramillies , Oudenarde , Malplaquet , Dettingen , Martinique 1809 , Niagara , Delhi 1857 , Lucknow , Peiwar Kotal",
/wiki/9th_Regiment_of_Foot,1881–1959,  United Kingdom,  British Army,Infantry,Line infantry,,"Gorleston Barracks , Great Yarmouth (1881–1887) Britannia Barracks , Norwich (1887–1959)","""The Holy Boys"" ""The Fighting Ninth"" ""The Norfolk Howards""",Firm,Rule Britannia,,,2 Regular battalions 1–2 Militia and Special Reserve battalions Up to 4 Territorial and Volunteer battalions Up to 12 Hostilities-only battalions,"Almanza , 25 April",,see below,
/wiki/10th_Regiment_of_Foot,1685–1960,  Kingdom of England (1685–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1960),  British Army,Line infantry,Infantry,,"Sobraon Barracks , Lincoln",,,,"Nine Years' War War of the Spanish Succession ( Blenhein , Ramillies & Malplaquet ) American War of Independence ( Lexington , Bunker Hill , New York and New Jersey campaign , Germantown , Monmouth , & Rhode Island ) French Revolutionary Wars Napoleonic Wars Peninsular War First World War Second World War",,Varied,,,,
/wiki/11th_Regiment_of_Foot,1685–1958,  Kingdom of England (1685–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1958),  British Army,Line infantry,Infantry,,"Topsham Barracks , Exeter",The Bloody Eleventh,Semper Fidelis (Ever faithful),We've Lived and We've Loved Together,,,1–2 Regular battalions Up to 2 Militia and Reserve battalions Up to 5 Volunteer and Territorial battalions Up to 19 Hostilities-only battalions,,,,
/wiki/12th_Regiment_of_Foot,1685–1959,  Kingdom of England (1685–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1959),British Army,Infantry,Line infantry,,"Gibraltar Barracks, Bury St Edmunds","""Old Dozen""",,,Battle of Minden Eureka Rebellion Battle of Singapore,,1–2 Regular battalions 1–2 Militia and Special Reserve battalions 1–4 Territorial and Volunteer battalions Up to 15 Hostilities-only battalions,,,,
/wiki/13th_Regiment_of_Foot,1685–1959,  Kingdom of England (to 1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1959),  British Army,Infantry,Light infantry,,"Jellalabad Barracks , Taunton",,,Prince Albert's March [2],Nine Years War War of the Spanish Succession War of 1812 First Anglo-Afghan War Second Boer War World War I World War II Malayan Emergency Suez Crisis,,1–2 Regular battalions 1–3 Volunteer and Territorial battalions Up to 13 hostilities-only battalions,,,,
/wiki/14th_Regiment_of_Foot,1685–1958,  Kingdom of England (1685–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1958),British Army,,,,"Bradford Moor Barracks (1873–1878) Imphal Barracks , York (1878–1958)","Calvert's Entire, The Old and Bold",Nec Aspera Terrent (Afraid Of No Hardships),Ça Ira,Namur Fontenoy Falkirk Culloden Brandywine,,1–3 Regular Battalions Up to 2 Militia and Special Reserve Battalions Up to 4 Territorial and Volunteer Battalions Up to 23 Hostilities-only Battalions,Imphal (22 June),,,
/wiki/15th_Regiment_of_Foot,1685–1958,  Kingdom of England (1685–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1958),  British Army,Infantry,Line infantry,,"Victoria Barracks, Beverley",,,,,,1–2 Regular battalions 1 Militia Battalion 2 Territorial battalions Up to 16 Hostilities-only battalions,Quebec (13 September),,,
/wiki/16th_Regiment_of_Foot,1688–1958,  Kingdom of England (1688–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1958),British Army,Infantry,Line infantry,,"Kempston Barracks , Kempston [1]",The Old Bucks; The Peacemakers; The Featherbeds; Old Sixteen,,"The Mountain Rose until 1882, La Mandolinata from 1882","Nine Years War , War of the Spanish Succession , American War of Independence , Second Boer War , First World War , Second World War",,,"Blenheim Day, August (The Battle of Blenheim, 1704)",,,
/wiki/17th_Regiment_of_Foot,1688–1964,  Kingdom of England (1688–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1964),  British Army,Infantry,Line infantry,,Glen Parva Barracks,The Tigers,,,,,,,,,
/wiki/18th_Regiment_of_Foot,1684–1922,  Kingdom of Ireland (1684–1800)   United Kingdom of Great Britain and Ireland (1801–1922),British Army,Infantry,Line infantry,,"Kickham Barracks , Clonmel","The Namurs, Paddy's Blackguards",Virtutis Namurcensis Praemium (Reward for Valour at Namur),Quick: Garry Owen,,,2 Regular battalions 3 Militia and Special Reserve battalions 6 Hostilities-Only battalions,,,,1922
/wiki/19th_Regiment_of_Foot,20 November 1688 – 6 June 2006,  Kingdom of England (1688–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–2006),  British Army,Line infantry,Light infantry,,"Richmond Barracks , North Yorkshire",,,Quick – The Bonnie English Rose Slow – Maria Theresa,,,One battalion,Alma (20 September),,,
/wiki/20th_Regiment_of_Foot,1688–1968,  Kingdom of England (1688–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1968),  British Army,Line infantry,Fusilier,,"Wellington Barracks, Bury",The Two Tens The Minden Boys Kingsley's Stand,Omnia audax,,,,1-2 Regular battalions 2 Militia and Special Reserve battalions 1-4 Territorial and Volunteer battalions Up to 24 Hostilities-only battalions,Gallipoli (25 April) Minden (1 August) Inkerman (5 November),,,
/wiki/21st_Regiment_of_Foot,1678–1959,  Kingdom of Scotland (1678–1688)   Kingdom of England (1688–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1959),British Army,Infantry,Line infantry,Lowland Brigade,"Churchill Barracks , Ayr",,,,,,,,,,
/wiki/22nd_Regiment_of_Foot,1689–2007,,  British Army,Infantry,Line infantry,Prince of Wales' Division,"Chester Castle (1873–1939) Dale Barracks , Upton by Chester (1939–2007)",The Old Two-twos The Young Buffs The Peep of Day Boys The Lightning Conductors The Red Knights The Specimens Twos,Ever Glorious,Quick – Wha Wadna Fecht for Charlie Slow – The 22nd Regiment 1772,See honours list,,One battalion,,,,
/wiki/23rd_Regiment_of_Foot,16 March 1689 – 28 February 2006,,  British Army,Infantry,Line infantry,,"Hightown Barracks , Wrexham",,Ich Dien,,Williamite War in Ireland Nine Years' War War of the Spanish Succession War of the Austrian Succession Seven Years' War American War of Independence French Revolutionary Wars Napoleonic Wars Crimean War Second China War Indian Mutiny Third Anglo-Burmese War Second Boer War First World War Second World War The Troubles Yugoslav Wars,,1–2 Regular battalions 4–12 Volunteer and Territorial battalions Up to 25 hostilities-only battalions,St. David's Day (1 March),,,
/wiki/24th_Regiment_of_Foot,1689–1969,  Kingdom of England (1689–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1969),  British Army,Infantry,Line infantry,,"The Barracks, Brecon",Howard's Greens,,Men of Harlech,,,,Rorke's Drift (22 January),,,
/wiki/25th_Regiment_of_Foot,1689 – 1 August 2006,,  British Army,Line Infantry,,Scottish Division,"Berwick Barracks , Berwick-upon-Tweed",,"In Veritate Religionis Confido (I put my trust in the truth of religion) Nisi Dominus Frustra (Without the Lord, everything is in vain)",,,,One battalion,Minden – 1 August,"John Cooper ( Operation Banner , 1993–97)",,
/wiki/26th_Regiment_of_Foot,1689–1881,  Kingdom of Scotland (1689–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1881),Army,Line Infantry,,,"Hamilton Barracks , Hamilton",,,"""Within a Mile of Edinburgh Town""",Nine Years' War War of the Spanish Succession Jacobite risings American Revolutionary War French Revolutionary Wars Napoleonic Wars First Opium War Crimean War British Expedition to Abyssinia,,,,,,
/wiki/27th_(Inniskilling)_Regiment_of_Foot,"1689-1881, became Royal Inniskilling Fusiliers",  Kingdom of England (1689–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,,,"St Lucia Barracks, Omagh",,,,Battle of the Boyne (1690) Battle of Falkirk Muir (1746) Battle of Culloden (1746) Battle of Maida (1806) Siege of Badajoz (1812) Battle of Salamanca (1812) Battle of Castalla (1813) Battle of Vitoria (1813) Battle of the Pyrenees (1813) Battle of Ordal (1813) Battle of Nivelle (1813) Battle of Orthez (1814) Battle of Toulouse (1814) Battle of Waterloo (1815),,Regiment,,,,
/wiki/28th_Regiment_of_Foot,1694 – 1 July 1881,,  British Army,Line Infantry,,,"Horfield Barracks , Bristol","The Old Braggs, The Slashers",,,War of the Spanish Succession War of the Quadruple Alliance War of the Austrian Succession French Revolutionary Wars Napoleonic Wars Crimean War,,One battalion,,,,
/wiki/29th_Regiment_of_Foot,1694–1698 1702–1881,  Kingdom of England   Kingdom of Great Britain   United Kingdom,  English Army   British Army,Regiment,Infantry,,"Norton Barracks , Worcestershire","""Two and a Hook"", ""The Ever Sworded 29th"", ""Vein Openers"" and ""Guards of the Line""",,"Royal Windsor, 1791",War of the Spanish Succession Battle of Ramillies Boston Massacre Peninsular War Battle of Albuera First Anglo-Sikh War Battle of Sobraon,,,The Glorious First of June 1794,"Willem Anne van Keppel, 2nd Earl of Albemarle (1731–1733) William Evelyn (1769–1783) William Tryon (1783–1788) Charles Stanhope, 3rd Earl of Harrington (1788–1792) William Cathcart, 1st Earl Cathcart (1792–1797) John Byng, 1st Earl of Strafford (1828–1850)",,
/wiki/30th_Regiment_of_Foot,1702–1881,  Kingdom of England (1702-1707)   Kingdom of Great Britain (1707-1801)   United Kingdom (1801-1881),  British Army,Infantry,,,"Burnley Barracks , Burnley",The Triple X's,,,Capture of Gibraltar French campaign in Egypt and Syria Peninsular War Napoleonic Wars Crimean War,,,,,,
/wiki/31st_Regiment_of_Foot,1702–1881,  Kingdom of England (1702-1707)   Kingdom of Great Britain (1707-1800)   United Kingdom (1801-1881),,Infantry,,,"The Barracks, Kingston upon Thames",The Young Buffs,,,War of the Austrian Succession American Revolutionary War Peninsular War First Anglo-Afghan War Crimean War,,,,,,
/wiki/32nd_Regiment_of_Foot,1702-1881,  Kingdom of England (1702-1707)   Kingdom of Great Britain (1707–1801)   United Kingdom (1801-1881),  British Army,,,,"Victoria Barracks, Bodmin",,,,War of the Spanish Succession War of the Austrian Succession Napoleonic Wars Lower Canada Rebellion Second Anglo-Sikh War Indian Rebellion,,,,,,
/wiki/33rd_Regiment_of_Foot,1 July 1702 – 6 June 2006,  Kingdom of England (1702–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1881),  British Army,Line infantry,Armoured infantry ( Warrior IFV ),,"Battlesbury Barracks , Warminster","""The Dukes"", ""The Havercake Lads"", ""The Pattern"", ""The Immortals"", ""The Pigs"", ""The Old Seventy-Sixth"", ""The Old Seven and Sixpennies"", ""The Duke of Boot's","Virtutis Fortuna Comes ( Latin : ""Fortune is the companion of virtue"")",Quick : The Wellesley,See #Battle honours,,One Battalion (at final amalgamation),St George's Day (23 April) Waterloo Day (18 June),Lt Col Brian Webb-Carter General Sir Charles Huxtable KCB OBE DL,,
/wiki/34th_Regiment_of_Foot,1702-1881,  Kingdom of England (1702-1707)   Kingdom of Great Britain (1707–1801)   United Kingdom (1801-1881),  British Army,,,,Carlisle Castle,,,,War of the Spanish Succession Seven Years' War American Revolutionary War Napoleonic Wars Upper Canada Rebellion Crimean War Indian Rebellion,,,,,,
/wiki/35th_Regiment_of_Foot,1701 - 1881,  Kingdom of England (1701-1707)   Kingdom of Great Britain (1707–1801)   United Kingdom (1801-1881),  British Army,Infantry,,,"Roussillon Barracks , Chichester","""The Orange Lillies"" ""The Prince of Orange's Own Regiment""",Honi soit qui mal y pense,,French and Indian War American War of Independence Napoleonic Wars Indian Rebellion,,,Quebec Day,"Arthur Chichester, 3rd Earl of Donegall Charles Lennox, 4th Duke of Richmond",,
/wiki/36th_Regiment_of_Foot,1701–1881,  Kingdom of England (1689–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,"Norton Barracks , Worcestershire","""The Saucy Greens"" [1]",,The Poacher [2],War of the Spanish Succession Jacobite rising War of Jenkins' Ear War of the Austrian Succession Seven Years' War Third Anglo-Mysore War Napoleonic Wars Peninsular War,,"1 battalion (2 battalions 1756–1758, 1804–1814)",,,,
/wiki/37th_Regiment_of_Foot,1702–1881,  Kingdom of England (1689–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,"Lower Barracks , Winchester",,,,War of the Spanish Succession War of the Austrian Succession American Revolutionary War French Revolutionary Wars Napoleonic Wars Matale rebellion Indian Rebellion,,"1 battalion (2 battalions 1756–1758, 1813–1817)",,,,
/wiki/38th_Regiment_of_Foot,1705–1881,  Kingdom of England (1705–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,"Whittington Barracks , Lichfield",,,,American Revolutionary War French Revolutionary Wars Napoleonic Wars Fifth Xhosa War First Anglo-Burmese War Crimean War Indian Rebellion,,1 battalion (2 battalions 1804–1814),,,,
/wiki/39th_Regiment_of_Foot,1702 to 1881,  Kingdom of England (1702–1707)   Kingdom of Great Britain (1707–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,"Dorchester Barracks , Dorchester","""Shankey's Horses"" , ""The Green Linnets"", ""The Flamers"".",,,War of the Spanish Succession War of the Austrian Succession Seven Years' War French Revolutionary Wars Napoleonic Wars Coorg War Gwalior Campaign Crimean War,,One battalion (2 battalions 1803–1815),,,,
/wiki/40th_Regiment_of_Foot,1717–1881,  Kingdom of Great Britain (1717–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,Light Infantry,,"Peninsula Barracks, Warrington","""The Excellers"", ""The Fighting Fortieth""",,,Father Rale's War King George's War Father Le Loutre's War French and Indian War American Revolutionary War Napoleonic Wars War of 1812 First Anglo-Afghan War Gwalior Campaign New Zealand Wars,,"One battalion (2 battalions 1799-1802, 1804-1816)",,,,
/wiki/41st_Regiment_of_Foot,1719–1881,  Kingdom of Great Britain (1719–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,Light Infantry,,Maindy Barracks in Cardiff,,,,War of 1812 First Anglo-Burmese War First Anglo-Afghan War Crimean War,,One battalion (2 battalions in 1813),,,,
/wiki/Oglethorpe%2527s_Regiment_(42nd),,,,,,,,,,,,,,,,,
/wiki/42nd_Regiment_of_Foot,1661–1718 1725–1881,  Scotland (1661–1707)   Kingdom of Great Britain (1707–1718; 1725–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,,,"Queen's Barracks , Perth",Black Watch Forty-Twa Black Jocks,(Scotland's) Nemo me impune lacessit,,War of the Austrian Succession French and Indian War American War of Independence Peninsular War Indian Mutiny,,,,,"Egypt 1801 Corunna Peninsula Waterloo Alma, Sevastopol Lucknow Ashanti",
/wiki/Gooch%2527s_American_Regiment,,,,,,,,,,,,,,,,,
/wiki/43rd_Regiment_of_Foot,1741–1881,  Kingdom of Great Britain (1741–1800)   United Kingdom (1801–1881),  British Army,Infantry,,,"Copthorne Barracks , Shrewsbury",,,,Seven Years War American War of Independence Peninsular War Battle of New Orleans Indian Mutiny New Zealand Wars,,One battalion (two battalions 1804–1817),,,,
/wiki/44th_Regiment_of_Foot,1741–1881,  Kingdom of Great Britain (1741–1800)   United Kingdom (1801–1881),  British Army,,Infantry,,"Warley Barracks , Brentwood",The Fighting Fours,,,Jacobite rising French and Indian War American Revolutionary War French Revolutionary Wars Napoleonic Wars First Anglo-Burmese War First Anglo-Afghan War Crimean War Second Opium War,,One battalion (two battalions 1803–1816),,James Long Charles Staveley,,
/wiki/45th_Regiment_of_Foot,1741–1881,  Kingdom of Great Britain (1741–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,Infantry,,"Glen Parva Barracks , Leicestershire","""Old Stubborns""",,,Father Le Loutre's War French and Indian War American Revolutionary War Peninsular War First Anglo-Burmese War Xhosa Wars,,One battalion (two battalions 1804–1814),,,,
/wiki/46th_Regiment_of_Foot,1741–1881,  Kingdom of Great Britain (1741–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,Light Infantry,,,"The Red Feathers , Murray's Bucks , The Surprisers , The Lacedemonians .",,,Jacobite rising French and Indian War American Revolutionary War Napoleonic Wars Crimean War,,One battalion (two battalions 1800–1802),,,,
/wiki/47th_Regiment_of_Foot_(4th_Marines),1739–1748,  Kingdom of Great Britain,  British Army,Infantry,Marine corps,,,,,,War of Jenkins' Ear,,Battalion,,John Wynyard George Byng James Long,,
/wiki/47th_Regiment_of_Foot,1741–1881,  Kingdom of Great Britain (1741–1800)   United Kingdom (1801–1881),  British Army,,,,"Fulwood Barracks , Lancashire","The Cauliflowers , The Lancashire Lads , Wolfe's Own",,,Jacobite rising French and Indian War American Revolutionary War Napoleonic Wars Third Anglo-Maratha War First Anglo-Burmese War Crimean War,,One battalion (two battalions 1794–1795; 1803–1815),,,,
/wiki/48th_Regiment_of_Foot,1741 to 1881,  Kingdom of Great Britain (1741–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,,,"Gibraltar Barracks , Northampton","""The Heroes of Talavera"", ""Murray's Bucks"", ""The Surprisers"", ""Lacedemonians"".",,Quick: Rule Britannia/Speed The Plough Slow: The Northamptonshire,Jacobite rising War of the Austrian Succession French and Indian War Napoleonic Wars Coorg War Crimean War,,One battalion (two battalions 1803–1814),,,,
/wiki/49th_Regiment_of_Foot,1743 to 1881,  Kingdom of Great Britain (1743–1800)   United Kingdom (1801–1881),  British Army,Line infantry,Infantry,,"Brock Barracks , Reading",,,,American Revolutionary War French Revolutionary Wars War of 1812 First Opium War Crimean War,,One battalion (two battalions 1813–1814),,,,
/wiki/Shirley%2527s_Regiment,,,,,,,,,,,,,,,,,
/wiki/50th_Regiment_of_Foot,1755 to 1881,  Kingdom of Great Britain (1755–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,,,"Maidstone Barracks , Kent","""The Dirty Half-Hundred""",,,Seven Years' War Napoleonic Wars Gwalior Campaign First Anglo-Sikh War Crimean War New Zealand Wars,,One battalion (two battalions 1804–1814),,,,
/wiki/51st_(2nd_Yorkshire_West_Riding)_Regiment_of_Foot,1755 to 1881,  Kingdom of Great Britain (1755–1800)   United Kingdom (1801–1881),  British Army,Line Infantry,,,"Pontefract Barracks , West Riding of Yorkshire","""The Stormers""",Cede Nullis (Yield to None),Quick: Jockey to the Fair ; Slow: The Keel Row,Seven Years' War French Revolutionary Wars Kandyan Wars Napoleonic Wars Second Anglo-Burmese War Indian Rebellion Ambela Campaign Second Anglo-Afghan War,,One battalion (two battalions 1804–1814),,,,
